"filename", "language", "C", "Makefile", "C++", "JSON", "Assembly", "Markdown", "YAML", "Shell Script", "pip requirements", "Python", "Log", "comment", "blank", "total"
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\nuttall\include\dsps_wind_nuttall.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 38
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\test\test_wind_f32.c", "C", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 103
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test\component.mk", "Makefile", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test\report.inc", "Assembly", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 13, 98
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test\test_dsp.c", "C", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 48, 229
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test_app\Makefile", "Makefile", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 14
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test_app\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\test_app\main\test_app_main.c", "C", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt.c", "C", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34, 268
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
